ASE section,ASE module,ASE tier (Free / Free+Pro / Pro),ASE Pro extras (if any),CM status,CM feature name(s),Notes/limits,Verdict
Content Management,Custom Content Types,Pro,,No,,"CM has no confirmed feature for registering/editing CPTs, taxonomies, field groups, or options pages.",ASE still needed
Content Management,Post Type Switcher,Pro,,Yes,Post Type Switcher,Exact CM feature name. CM library describes edit-screen and bulk switching.,CM enough
Content Management,Content Duplication,Free+Pro,ASE Pro adds: • duplication link in post edit screen's publishing section • an option to choose where to show duplication link • an option to choose on which public and non-public post type(s) duplication is enabled • an option to enable duplication only for certain user roles,Yes,Enable Content Duplication,"Core duplication is covered. ASE Pro adds placement, post-type scope, and role restrictions; CM parity for those extras is not established here.",Either fine
Content Management,Content Order,Free+Pro,"ASE Pro enables: • custom ordering for post types that are non-hierarchical and does not support page attributes, including media / attachments. • reorder and change the parent of child posts • toggling featured images, taxonomy terms and / or excerpt on the ordering page • applying the custom order on the frontend, including for displaying adjacent post links",Yes,Order Post Types; Order Taxonomy Terms,"CM documents drag-and-drop post-type ordering, including attachment post types, frontend menu_order behavior, and hierarchical taxonomy ordering.",CM enough
Content Management,Terms Order,Pro,,Yes,Order Taxonomy Terms,Exact CM feature name. CM library describes hierarchical taxonomy term ordering.,CM enough
Content Management,Media Files Visibility Control,Free+Pro,ASE Pro adds an option to specify which non-administrator user roles will have such limitation.,No,,No confirmed CM feature that limits Media Library visibility by uploader or role.,ASE still needed
Content Management,Media Categories,Pro,,Different approach,Enable Folder Manager,"CM offers folders, colors, filtering, and multiple-folder assignment. That is not the same as ASE media taxonomy categories.",ASE still needed
Content Management,Media Replacement,Free+Pro,ASE Pro allows replacing media from the grid view of media library as well.,Yes,Enable Media Replacement,CM documents replacement while preserving the attachment ID and existing URLs. ASE Pro’s grid-view control is an extra UI surface not separately stated in CM docs.,CM enough
Content Management,SVG Upload,Free,,Yes,SVG Support; SVG Security Sanitization,"CM explicitly documents SVG upload support, previews, and sanitization. Role-specific upload scope is not separately stated.",CM enough
Content Management,AVIF Upload,Free,,Different approach,Image Converter,"CM converts images to AVIF, but the library does not confirm a standalone AVIF MIME-upload module.",ASE still needed
Content Management,Public Preview for Drafts,Pro,,Partial,Public Post Preview; Enable Global Password Protection,CM covers secure unpublished-post previews. Scheduled-preview parity is not established in the library.,ASE still needed
Content Management,External Permalinks,Free+Pro,"ASE Pro adds an option to enable only on / except on certain post types, or on all post types.",No,,No confirmed CM equivalent for assigning external URLs as post/page permalinks.,ASE still needed
Content Management,Open All External Links in New Tab,Free,,Yes,Add nofollow to External Links and Open in New Tab,Exact CM feature covers new-tab behavior and nofollow handling.,CM enough
